Region,Country Name,Mobile users per capita,Population,Year,Migration: Top 3 destinations,Migration: Top 3 sources
Europe,Isle of Man,NA,76803,2000,"[('Afghanistan', '0'), ('Albania', '0'), ('Algeria', '0')]","[('Afghanistan', '0'), ('Albania', '0'), ('Algeria', '0')]"
Middle East,Israel,0.70,6289000,2000,"[('West Bank and Gaza', '479728'), ('United States', '125896'), ('Canada', '16897')]","[('Russian Federation', '420072'), ('Azerbaijan', '225396'), ('Morocco', '187826')]"
Europe,Italy,0.74,56942108,2000,"[('Germany', '629291'), ('United States', '547833'), ('Switzerland', '336726')]","[('Morocco', '286498'), ('Albania', '275300'), ('Romania', '119123')]"
The Americas,Jamaica,0.14,2589389,2000,"[('United States', '575845'), ('United Kingdom', '152843'), ('Canada', '118874')]","[('United States', '6169'), ('United Kingdom', '4722'), ('Haiti', '1449')]"
Asia,Japan,0.53,126870000,2000,"[('United States', '500527'), ('Brazil', '70837'), ('United Kingdom', '59546')]","[('Korea, Rep.', '685943'), ('China', '335495'), ('Brazil', '242246')]"
Middle East,Jordan,0.08,4797500,2000,"[('Kuwait', '434725'), ('West Bank and Gaza', '269988'), ('Saudi Arabia', '127456')]","[('West Bank and Gaza', '104718'), ('Egypt, Arab Rep.', '102174'), ('Iraq', '36440')]"
Asia,Kazakhstan,0.01,14883626,2000,"[('Russian Federation', '2584955'), ('Ukraine', '245072'), ('Uzbekistan', '164799')]","[('Russian Federation', '1931909'), ('Ukraine', '402671'), ('Uzbekistan', '109989')]"
Africa,Kenya,0.00,31253701,2000,"[('United Kingdom', '130511'), ('United States', '43978'), ('Uganda', '43186')]","[('Uganda', '351083'), ('Tanzania', '61151'), ('Sudan', '48296')]"
Oceania,Kiribati,0.00,84010,2000,"[('United States', '6471'), ('Naura', '1950'), ('Solomon Islands', '1404')]","[('Tuvalu', '1040'), ('Australia', '174'), ('Fiji', '108')]"
Asia,"Korea, Dem. Rep.",0.00,22894095,2000,"[('Korea, Rep.', '431629'), ('China', '40337'), ('Hong Kong SAR, China', '29763')]","[('China', '20739'), ('Korea, Rep.', '4185'), ('Philippines', '1582')]"
Asia,"Korea, Rep.",0.57,47008000,2000,"[('United States', '896982'), ('Japan', '685943'), ('Canada', '80541')]","[('Korea, Dem. Rep.', '431629'), ('China', '48165'), ('Japan', '13517')]"
Europe,Kosovo,NA,1700000,2000,"[('Afghanistan', '0'), ('Albania', '0'), ('Algeria', '0')]","[('Afghanistan', '0'), ('Albania', '0'), ('Algeria', '0')]"
